regularization_type,strength,dropout_rate,learning_rate,last_epoch log, f1 score
l1,0.01,0.0,0.1Epoch 50/50 - loss: 250.6878 - acc: 0.6224 - val_loss: 253.7091 - val_acc: 0.6395 - precision: 0.3448 - recall: 0.0469 - val_precision: 0.0000 - val_recall: 0.0000,0.0,0.0,0.0
l1,0.01,0.0,0.01Epoch 50/50 - loss: 31.7645 - acc: 0.8044 - val_loss: 31.9423 - val_acc: 0.7551,0.5813953488372093,0.7575757575757576,0.4716981132075472
l1,0.01,0.0,0.001Epoch 50/50 - loss: 13.6641 - acc: 0.9201 - val_loss: 11.5633 - val_acc: 0.8163,0.7326732673267327,0.7708333333333334,0.6981132075471698
l1,0.01,0.3,0.1Epoch 50/50 - loss: 254.8608 - acc: 0.6224 - val_loss: 257.6158 - val_acc: 0.6395,0.0,0.0,0.0
l1,0.01,0.3,0.01Epoch 50/50 - loss: 38.1380 - acc: 0.6378 - val_loss: 34.8900 - val_acc: 0.6327,0.06896551724137931,0.4,0.03773584905660377
l1,0.01,0.3,0.001Epoch 50/50 - loss: 9.6286 - acc: 0.8316 - val_loss: 10.2844 - val_acc: 0.8027,0.7010309278350515,0.7727272727272727,0.6415094339622641
l1,0.01,0.5,0.1Epoch 50/50 - loss: 247.9068 - acc: 0.6088 - val_loss: 248.1837 - val_acc: 0.3605,0.53,0.36054421768707484,1.0
l1,0.01,0.5,0.01Epoch 50/50 - loss: 41.2909 - acc: 0.6548 - val_loss: 43.3686 - val_acc: 0.5850,0.46017699115044247,0.43333333333333335,0.49056603773584906
l1,0.01,0.5,0.001Epoch 50/50 - loss: 8.5960 - acc: 0.6820 - val_loss: 10.7894 - val_acc: 0.7007,0.5416666666666665,0.6046511627906976,0.49056603773584906
l1,0.05,0.0,0.1Epoch 50/50 - loss: 1249.6100 - acc: 0.6105 - val_loss: 1257.1295 - val_acc: 0.6395,0.0,0.0,0.0
l1,0.05,0.0,0.01Epoch 50/50 - loss: 145.6766 - acc: 0.6293 - val_loss: 145.7270 - val_acc: 0.6395,0.0,0.0,0.0
l1,0.05,0.0,0.001Epoch 50/50 - loss: 17.2670 - acc: 0.9048 - val_loss: 16.8010 - val_acc: 0.7619,0.6956521739130435,0.6451612903225806,0.7547169811320755
l1,0.05,0.3,0.1Epoch 50/50 - loss: 1241.5907 - acc: 0.6241 - val_loss: 1249.6622 - val_acc: 0.6395,0.0,0.0,0.0
l1,0.05,0.3,0.01Epoch 50/50 - loss: 158.2211 - acc: 0.6190 - val_loss: 152.5492 - val_acc: 0.6190,0.22222222222222224,0.42105263157894735,0.1509433962264151
l1,0.05,0.3,0.001Epoch 50/50 - loss: 18.9316 - acc: 0.6888 - val_loss: 20.6927 - val_acc: 0.5170,0.3106796116504854,0.32,0.3018867924528302
l1,0.05,0.5,0.1Epoch 50/50 - loss: 1232.2471 - acc: 0.6293 - val_loss: 1246.1937 - val_acc: 0.6395,0.0,0.0,0.0
l1,0.05,0.5,0.01Epoch 50/50 - loss: 153.2891 - acc: 0.6276 - val_loss: 152.8028 - val_acc: 0.6395,0.0,0.0,0.0
l1,0.05,0.5,0.001Epoch 50/50 - loss: 20.3964 - acc: 0.6429 - val_loss: 20.1102 - val_acc: 0.6395,0.3764705882352941,0.5,0.3018867924528302
l1,0.1,0.0,0.1Epoch 50/50 - loss: 2492.8071 - acc: 0.6293 - val_loss: 2538.6079 - val_acc: 0.6395,0.0,0.0,0.0
l1,0.1,0.0,0.01Epoch 50/50 - loss: 288.7063 - acc: 0.6378 - val_loss: 283.2158 - val_acc: 0.6395,0.0,0.0,0.0
l1,0.1,0.0,0.001Epoch 50/50 - loss: 34.0755 - acc: 0.7925 - val_loss: 37.9734 - val_acc: 0.6735,0.441860465116279,0.5757575757575758,0.3584905660377358
l1,0.1,0.3,0.1Epoch 50/50 - loss: 2480.7930 - acc: 0.6378 - val_loss: 2505.2749 - val_acc: 0.6395,0.0,0.0,0.0
l1,0.1,0.3,0.01Epoch 50/50 - loss: 289.7769 - acc: 0.6190 - val_loss: 289.0233 - val_acc: 0.6395,0.0,0.0,0.0
l1,0.1,0.3,0.001Epoch 50/50 - loss: 33.4450 - acc: 0.6548 - val_loss: 31.3716 - val_acc: 0.6667,0.5585585585585585,0.5344827586206896,0.5849056603773585
l1,0.1,0.5,0.1Epoch 50/50 - loss: 2490.0457 - acc: 0.6361 - val_loss: 2521.7124 - val_acc: 0.6395,0.0,0.0,0.0
l1,0.1,0.5,0.01Epoch 50/50 - loss: 298.8199 - acc: 0.6344 - val_loss: 301.1688 - val_acc: 0.6395,0.0,0.0,0.0
l1,0.1,0.5,0.001Epoch 50/50 - loss: 34.0585 - acc: 0.6173 - val_loss: 34.1309 - val_acc: 0.5306,0.42016806722689076,0.3787878787878788,0.4716981132075472
l2,0.01,0.0,0.1Epoch 50/50 - loss: 6.2598 - acc: 0.6599 - val_loss: 7.6731 - val_acc: 0.3605,0.53,0.36054421768707484,1.0
l2,0.01,0.0,0.01Epoch 50/50 - loss: 2.3079 - acc: 0.7109 - val_loss: 2.5704 - val_acc: 0.6803,0.5688073394495413,0.5535714285714286,0.5849056603773585
l2,0.01,0.0,0.001Epoch 50/50 - loss: 0.6432 - acc: 0.9456 - val_loss: 1.2341 - val_acc: 0.7755,0.7079646017699115,0.6666666666666666,0.7547169811320755
l2,0.01,0.3,0.1Epoch 50/50 - loss: 6.8686 - acc: 0.6361 - val_loss: 2.8449 - val_acc: 0.6395,0.0,0.0,0.0
l2,0.01,0.3,0.01Epoch 50/50 - loss: 3.4641 - acc: 0.6905 - val_loss: 3.0450 - val_acc: 0.6735,0.441860465116279,0.5757575757575758,0.3584905660377358
l2,0.01,0.3,0.001Epoch 50/50 - loss: 0.8303 - acc: 0.9439 - val_loss: 1.3169 - val_acc: 0.7959,0.7222222222222221,0.7090909090909091,0.7358490566037735
l2,0.01,0.5,0.1Epoch 50/50 - loss: 5.9614 - acc: 0.6395 - val_loss: 3.5603 - val_acc: 0.6395,0.0,0.0,0.0
l2,0.01,0.5,0.01Epoch 50/50 - loss: 4.4920 - acc: 0.7126 - val_loss: 4.9128 - val_acc: 0.6259,0.42105263157894735,0.47619047619047616,0.37735849056603776
l2,0.01,0.5,0.001Epoch 50/50 - loss: 1.8240 - acc: 0.9184 - val_loss: 2.4554 - val_acc: 0.7551,0.6727272727272728,0.6491228070175439,0.6981132075471698
l2,0.05,0.0,0.1Epoch 50/50 - loss: 8.4096 - acc: 0.6139 - val_loss: 35.5616 - val_acc: 0.6395,0.0,0.0,0.0
l2,0.05,0.0,0.01Epoch 50/50 - loss: 4.5612 - acc: 0.6769 - val_loss: 3.2785 - val_acc: 0.7687,0.5641025641025641,0.88,0.41509433962264153
l2,0.05,0.0,0.001Epoch 50/50 - loss: 1.8152 - acc: 0.8282 - val_loss: 2.1669 - val_acc: 0.6599,0.4897959183673469,0.5333333333333333,0.4528301886792453
l2,0.05,0.3,0.1Epoch 50/50 - loss: 2.4867 - acc: 0.6276 - val_loss: 3.5027 - val_acc: 0.6395,0.0,0.0,0.0
l2,0.05,0.3,0.01Epoch 50/50 - loss: 5.9105 - acc: 0.6837 - val_loss: 4.7401 - val_acc: 0.5782,0.4745762711864407,0.4307692307692308,0.5283018867924528
l2,0.05,0.3,0.001Epoch 50/50 - loss: 1.5081 - acc: 0.8554 - val_loss: 1.6102 - val_acc: 0.7959,0.7058823529411764,0.7346938775510204,0.6792452830188679
l2,0.05,0.5,0.1Epoch 50/50 - loss: 16.9946 - acc: 0.6361 - val_loss: 21.8165 - val_acc: 0.6395,0.0,0.0,0.0
l2,0.05,0.5,0.01Epoch 50/50 - loss: 9.0684 - acc: 0.6548 - val_loss: 6.0525 - val_acc: 0.6667,0.5739130434782608,0.532258064516129,0.6226415094339622
l2,0.05,0.5,0.001Epoch 50/50 - loss: 2.0436 - acc: 0.7942 - val_loss: 2.5507 - val_acc: 0.6871,0.54,0.574468085106383,0.5094339622641509
l2,0.1,0.0,0.1Epoch 50/50 - loss: 7.7306 - acc: 0.6378 - val_loss: 6.0328 - val_acc: 0.6395,0.0,0.0,0.0
l2,0.1,0.0,0.01Epoch 50/50 - loss: 4.7964 - acc: 0.6497 - val_loss: 4.3308 - val_acc: 0.5714,0.33684210526315794,0.38095238095238093,0.3018867924528302
l2,0.1,0.0,0.001Epoch 50/50 - loss: 1.1167 - acc: 0.8027 - val_loss: 1.1710 - val_acc: 0.7279,0.6,0.6382978723404256,0.5660377358490566
l2,0.1,0.3,0.1Epoch 50/50 - loss: 8.3862 - acc: 0.6088 - val_loss: 12.3570 - val_acc: 0.6395,0.0,0.0,0.0
l2,0.1,0.3,0.01Epoch 50/50 - loss: 5.2584 - acc: 0.6327 - val_loss: 3.7880 - val_acc: 0.5850,0.4958677685950413,0.4411764705882353,0.5660377358490566
l2,0.1,0.3,0.001Epoch 50/50 - loss: 1.5217 - acc: 0.7806 - val_loss: 1.7722 - val_acc: 0.6122,0.48648648648648646,0.46551724137931033,0.5094339622641509
l2,0.1,0.5,0.1Epoch 50/50 - loss: 5.8613 - acc: 0.6224 - val_loss: 2.9264 - val_acc: 0.6395,0.0,0.0,0.0
